GrainCode ,GrainDescribe ,GrainNumber
SugBeton1 ,פוליה         ,          1
SugBeton2 ,משאבה         ,          2
SugBeton3 ,עדש           ,          3
SugBeton4 ,ללפ           ,          4
SugBeton5 ,מיקו          ,          5
SugBeton6 ,סופר מיקו     ,          6
