ItemCode,ItemDescribe,ItemType,ItemStrength,ItemDegreeExposure,SomechBuyton
b6277,ב60 משאבה ש7 ח7,2,6,7,7
b6278,ב60 משאבה ש7 ח8,2,6,8,7
b6279,ב60 משאבה ש7 ח9,2,6,9,7
b6281,ב60 משאבה ש8 ח1,2,6,1,8
b6282,ב60 משאבה ש8 ח2,2,6,2,8
b6283,ב60 משאבה ש8 ח3,2,6,3,8
b6284,ב60 משאבה ש8 ח4,2,6,4,8
b6285,ב60 משאבה ש8 ח5,2,6,5,8
b6286,ב60 משאבה ש8 ח6,2,6,6,8
b6287,ב60 משאבה ש8 ח7,2,6,7,8
b6288,ב60 משאבה ש8 ח8,2,6,8,8
b6289,ב60 משאבה ש8 ח9,2,6,9,8
b6341,ב60 עדש ש4 ח1,3,6,1,4
b6342,ב60 עדש ש4 ח2,3,6,2,4
b6343,ב60 עדש ש4 ח3,3,6,3,4
b6344,ב60 עדש ש4 ח4,3,6,4,4
b6345,ב60 עדש ש4 ח5,3,6,5,4
b6346,ב60 עדש ש4 ח6,3,6,6,4
b6347,ב60 עדש ש4 ח7,3,6,7,4
b6348,ב60 עדש ש4 ח8,3,6,8,4
b6349,ב60 עדש ש4 ח9,3,6,9,4
b6351,ב60 עדש ש5 ח1,3,6,1,5
b6352,ב60 עדש ש5 ח2,3,6,2,5
b6353,ב60 עדש ש5 ח3,3,6,3,5
b6354,ב60 עדש ש5 ח4,3,6,4,5
b6355,ב60 עדש ש5 ח5,3,6,5,5
b6356,ב60 עדש ש5 ח6,3,6,6,5
b6357,ב60 עדש ש5 ח7,3,6,7,5
b6358,ב60 עדש ש5 ח8,3,6,8,5
b6359,ב60 עדש ש5 ח9,3,6,9,5
b6361,ב60 עדש ש6 ח1,3,6,1,6
b6362,ב60 עדש ש6 ח2,3,6,2,6
b6363,ב60 עדש ש6 ח3,3,6,3,6
b6364,ב60 עדש ש6 ח4,3,6,4,6
b6365,ב60 עדש ש6 ח5,3,6,5,6
b6366,ב60 עדש ש6 ח6,3,6,6,6
b6367,ב60 עדש ש6 ח7,3,6,7,6
b6368,ב60 עדש ש6 ח8,3,6,8,6
b6369,ב60 עדש ש6 ח9,3,6,9,6
b6371,ב60 עדש ש7 ח1,3,6,1,7
b6372,ב60 עדש ש7 ח2,3,6,2,7
b6373,ב60 עדש ש7 ח3,3,6,3,7
b6374,ב60 עדש ש7 ח4,3,6,4,7
b6375,ב60 עדש ש7 ח5,3,6,5,7
b6376,ב60 עדש ש7 ח6,3,6,6,7
b6377,ב60 עדש ש7 ח7,3,6,7,7
b6378,ב60 עדש ש7 ח8,3,6,8,7
b6379,ב60 עדש ש7 ח9,3,6,9,7
b6381,ב60 עדש ש8 ח1,3,6,1,8
b6382,ב60 עדש ש8 ח2,3,6,2,8
b6383,ב60 עדש ש8 ח3,3,6,3,8
b6384,ב60 עדש ש8 ח4,3,6,4,8
b6385,ב60 עדש ש8 ח5,3,6,5,8
b6386,ב60 עדש ש8 ח6,3,6,6,8
b6387,ב60 עדש ש8 ח7,3,6,7,8
b6388,ב60 עדש ש8 ח8,3,6,8,8
b6389,ב60 עדש ש8 ח9,3,6,9,8
b6441,ב60 ללפ ש4 ח1,4,6,1,4
b6442,ב60 ללפ ש4 ח2,4,6,2,4
b6443,ב60 ללפ ש4 ח3,4,6,3,4
b6444,ב60 ללפ ש4 ח4,4,6,4,4
b6445,ב60 ללפ ש4 ח5,4,6,5,4
b6446,ב60 ללפ ש4 ח6,4,6,6,4
b6447,ב60 ללפ ש4 ח7,4,6,7,4
b6448,ב60 ללפ ש4 ח8,4,6,8,4
b6449,ב60 ללפ ש4 ח9,4,6,9,4
b6451,ב60 ללפ ש5 ח1,4,6,1,5
b6452,ב60 ללפ ש5 ח2,4,6,2,5
b6453,ב60 ללפ ש5 ח3,4,6,3,5
b6454,ב60 ללפ ש5 ח4,4,6,4,5
b6455,ב60 ללפ ש5 ח5,4,6,5,5
b6456,ב60 ללפ ש5 ח6,4,6,6,5
b6457,ב60 ללפ ש5 ח7,4,6,7,5
b6458,ב60 ללפ ש5 ח8,4,6,8,5
b6459,ב60 ללפ ש5 ח9,4,6,9,5
b6461,ב60 ללפ ש6 ח1,4,6,1,6
b6462,ב60 ללפ ש6 ח2,4,6,2,6
b6463,ב60 ללפ ש6 ח3,4,6,3,6
b6464,ב60 ללפ ש6 ח4,4,6,4,6
b6465,ב60 ללפ ש6 ח5,4,6,5,6
b6466,ב60 ללפ ש6 ח6,4,6,6,6
b6467,ב60 ללפ ש6 ח7,4,6,7,6
b6468,ב60 ללפ ש6 ח8,4,6,8,6
b6469,ב60 ללפ ש6 ח9,4,6,9,6
b6471,ב60 ללפ ש7 ח1,4,6,1,7
b6472,ב60 ללפ ש7 ח2,4,6,2,7
b6473,ב60 ללפ ש7 ח3,4,6,3,7
b6474,ב60 ללפ ש7 ח4,4,6,4,7
b6475,ב60 ללפ ש7 ח5,4,6,5,7
b6476,ב60 ללפ ש7 ח6,4,6,6,7
b6477,ב60 ללפ ש7 ח7,4,6,7,7
b6478,ב60 ללפ ש7 ח8,4,6,8,7
b6479,ב60 ללפ ש7 ח9,4,6,9,7
b6481,ב60 ללפ ש8 ח1,4,6,1,8
b6482,ב60 ללפ ש8 ח2,4,6,2,8
b6483,ב60 ללפ ש8 ח3,4,6,3,8
b6484,ב60 ללפ ש8 ח4,4,6,4,8
b6485,ב60 ללפ ש8 ח5,4,6,5,8
b6486,ב60 ללפ ש8 ח6,4,6,6,8
b6487,ב60 ללפ ש8 ח7,4,6,7,8
b6488,ב60 ללפ ש8 ח8,4,6,8,8
b6489,ב60 ללפ ש8 ח9,4,6,9,8
b6541,ב60 מיקו ש4 ח1,5,6,1,4
b6542,ב60 מיקו ש4 ח2,5,6,2,4
b6543,ב60 מיקו ש4 ח3,5,6,3,4
b6544,ב60 מיקו ש4 ח4,5,6,4,4
b6545,ב60 מיקו ש4 ח5,5,6,5,4
b6546,ב60 מיקו ש4 ח6,5,6,6,4
b6547,ב60 מיקו ש4 ח7,5,6,7,4
b6548,ב60 מיקו ש4 ח8,5,6,8,4
b6549,ב60 מיקו ש4 ח9,5,6,9,4
b6551,ב60 מיקו ש5 ח1,5,6,1,5
b6552,ב60 מיקו ש5 ח2,5,6,2,5
b6553,ב60 מיקו ש5 ח3,5,6,3,5
b6554,ב60 מיקו ש5 ח4,5,6,4,5
b6555,ב60 מיקו ש5 ח5,5,6,5,5
b6556,ב60 מיקו ש5 ח6,5,6,6,5
b6557,ב60 מיקו ש5 ח7,5,6,7,5
b6558,ב60 מיקו ש5 ח8,5,6,8,5
b6559,ב60 מיקו ש5 ח9,5,6,9,5
b6561,ב60 מיקו ש6 ח1,5,6,1,6
b6562,ב60 מיקו ש6 ח2,5,6,2,6
b6563,ב60 מיקו ש6 ח3,5,6,3,6
b6564,ב60 מיקו ש6 ח4,5,6,4,6
b6565,ב60 מיקו ש6 ח5,5,6,5,6
b6566,ב60 מיקו ש6 ח6,5,6,6,6
b6567,ב60 מיקו ש6 ח7,5,6,7,6
b6568,ב60 מיקו ש6 ח8,5,6,8,6
b6569,ב60 מיקו ש6 ח9,5,6,9,6
b6571,ב60 מיקו ש7 ח1,5,6,1,7
b6572,ב60 מיקו ש7 ח2,5,6,2,7
b6573,ב60 מיקו ש7 ח3,5,6,3,7
b6574,ב60 מיקו ש7 ח4,5,6,4,7
b6575,ב60 מיקו ש7 ח5,5,6,5,7
b6576,ב60 מיקו ש7 ח6,5,6,6,7
b6577,ב60 מיקו ש7 ח7,5,6,7,7
b6578,ב60 מיקו ש7 ח8,5,6,8,7
b6579,ב60 מיקו ש7 ח9,5,6,9,7
b6581,ב60 מיקו ש8 ח1,5,6,1,8
b6582,ב60 מיקו ש8 ח2,5,6,2,8
b6583,ב60 מיקו ש8 ח3,5,6,3,8
b6584,ב60 מיקו ש8 ח4,5,6,4,8
b6585,ב60 מיקו ש8 ח5,5,6,5,8
b6586,ב60 מיקו ש8 ח6,5,6,6,8
b6587,ב60 מיקו ש8 ח7,5,6,7,8
b6588,ב60 מיקו ש8 ח8,5,6,8,8
b6589,ב60 מיקו ש8 ח9,5,6,9,8
b6641,ב60 סופר מיקו ש4 ח1,6,6,1,4
b6642,ב60 סופר מיקו ש4 ח2,6,6,2,4
b6643,ב60 סופר מיקו ש4 ח3,6,6,3,4
b6644,ב60 סופר מיקו ש4 ח4,6,6,4,4
b6645,ב60 סופר מיקו ש4 ח5,6,6,5,4
b6646,ב60 סופר מיקו ש4 ח6,6,6,6,4
b6647,ב60 סופר מיקו ש4 ח7,6,6,7,4
b6648,ב60 סופר מיקו ש4 ח8,6,6,8,4
b6649,ב60 סופר מיקו ש4 ח9,6,6,9,4
b6651,ב60 סופר מיקו ש5 ח1,6,6,1,5
b6652,ב60 סופר מיקו ש5 ח2,6,6,2,5
b6653,ב60 סופר מיקו ש5 ח3,6,6,3,5
b6654,ב60 סופר מיקו ש5 ח4,6,6,4,5
b6655,ב60 סופר מיקו ש5 ח5,6,6,5,5
b6656,ב60 סופר מיקו ש5 ח6,6,6,6,5
b6657,ב60 סופר מיקו ש5 ח7,6,6,7,5
b6658,ב60 סופר מיקו ש5 ח8,6,6,8,5
b6659,ב60 סופר מיקו ש5 ח9,6,6,9,5
b6661,ב60 סופר מיקו ש6 ח1,6,6,1,6
b6662,ב60 סופר מיקו ש6 ח2,6,6,2,6
b6663,ב60 סופר מיקו ש6 ח3,6,6,3,6
b6664,ב60 סופר מיקו ש6 ח4,6,6,4,6
b6665,ב60 סופר מיקו ש6 ח5,6,6,5,6
b6666,ב60 סופר מיקו ש6 ח6,6,6,6,6
b6667,ב60 סופר מיקו ש6 ח7,6,6,7,6
b6668,ב60 סופר מיקו ש6 ח8,6,6,8,6
b6669,ב60 סופר מיקו ש6 ח9,6,6,9,6
b6671,ב60 סופר מיקו ש7 ח1,6,6,1,7
b6672,ב60 סופר מיקו ש7 ח2,6,6,2,7
b6673,ב60 סופר מיקו ש7 ח3,6,6,3,7
b6674,ב60 סופר מיקו ש7 ח4,6,6,4,7
b6675,ב60 סופר מיקו ש7 ח5,6,6,5,7
b6676,ב60 סופר מיקו ש7 ח6,6,6,6,7
b6677,ב60 סופר מיקו ש7 ח7,6,6,7,7
b6678,ב60 סופר מיקו ש7 ח8,6,6,8,7
b6679,ב60 סופר מיקו ש7 ח9,6,6,9,7
b6681,ב60 סופר מיקו ש8 ח1,6,6,1,8
b6682,ב60 סופר מיקו ש8 ח2,6,6,2,8
b6683,ב60 סופר מיקו ש8 ח3,6,6,3,8
b6684,ב60 סופר מיקו ש8 ח4,6,6,4,8
b6685,ב60 סופר מיקו ש8 ח5,6,6,5,8
b6686,ב60 סופר מיקו ש8 ח6,6,6,6,8
b6687,ב60 סופר מיקו ש8 ח7,6,6,7,8
b6688,ב60 סופר מיקו ש8 ח8,6,6,8,8
b6689,ב60 סופר מיקו ש8 ח9,6,6,9,8
